Date,Open,High,Low,Close
2024-04-25,2315.00,2329.80,2305.00,2329.80
2024-04-26,2347.90,2347.90,2332.80,2334.80
2024-04-29,2334.80,2345.50,2327.90,2345.40
2024-04-30,2322.50,2322.50,2291.40,2291.40
2024-05-01,2287.70,2327.30,2283.80,2299.90
2024-05-02,2321.70,2324.70,2292.30,2299.20
2024-05-03,2300.00,2301.00,2277.60,2299.00
2024-05-06,2322.80,2325.50,2314.20,2321.60
2024-05-07,2324.30,2324.30,2315.20,2315.20
2024-05-08,2313.60,2313.60,2313.60,2313.60
2024-05-09,2310.70,2339.50,2310.70,2332.10
2024-05-10,2367.30,2367.30,2367.30,2367.30
2024-05-13,2358.30,2358.30,2336.10,2336.10
2024-05-14,2336.00,2358.00,2336.00,2353.40
2024-05-15,2361.60,2388.70,2356.00,2388.70
2024-05-16,2389.50,2392.20,2380.00,2380.00
2024-05-17,2380.70,2415.80,2380.70,2412.20
2024-05-20,2415.80,2435.80,2409.70,2433.90
2024-05-21,2429.50,2429.50,2421.00,2421.70
2024-05-22,2417.50,2417.60,2375.80,2389.20
2024-05-23,2371.20,2371.20,2335.00,2335.00
2024-05-24,2342.60,2345.40,2332.50,2332.50
2024-05-28,2336.90,2359.70,2336.90,2355.20
2024-05-29,2340.30,2340.30,2340.30,2340.30
2024-05-30,2336.90,2349.50,2320.80,2342.90
2024-05-31,2344.10,2354.00,2319.00,2322.90
2024-06-03,2322.60,2347.50,2312.00,2346.60
2024-06-04,2347.50,2347.70,2313.90,2325.50
2024-06-05,2326.40,2354.30,2326.20,2354.10
2024-06-06,2355.00,2375.80,2355.00,2370.30
2024-06-07,2379.90,2385.10,2285.40,2305.20
2024-06-10,2290.60,2309.30,2290.50,2307.70
2024-06-11,2300.00,2314.10,2300.00,2307.50
2024-06-12,2314.90,2338.70,2310.30,2336.00
2024-06-13,2309.40,2317.70,2296.20,2300.20
2024-06-14,2307.00,2331.40,2305.80,2331.40
2024-06-17,2320.20,2320.20,2309.60,2312.40
2024-06-18,2311.80,2330.40,2311.80,2330.40
2024-06-20,2328.90,2354.00,2328.30,2353.80
2024-06-21,2331.20,2331.20,2316.40,2316.40
2024-06-24,2323.30,2332.90,2322.70,2330.00
2024-06-25,2324.40,2333.00,2316.60,2316.60
2024-06-26,2307.90,2314.40,2298.00,2299.20
2024-06-27,2296.80,2329.00,2295.00,2324.50
2024-06-28,2325.40,2338.30,2319.00,2327.70
2024-07-01,2323.80,2329.70,2321.70,2327.60
2024-07-02,2330.70,2334.60,2323.00,2323.00
2024-07-03,2330.90,2361.60,2330.90,2359.80
2024-07-05,2354.90,2388.50,2354.90,2388.50
2024-07-08,2381.70,2383.80,2352.80,2355.20
2024-07-09,2363.10,2363.70,2360.10,2360.10
2024-07-10,2366.30,2377.00,2365.80,2372.20
2024-07-11,2378.70,2416.70,2378.70,2415.00
2024-07-12,2399.80,2414.00,2391.30,2414.00
2024-07-15,2430.00,2436.00,2422.90,2422.90
2024-07-16,2427.40,2462.40,2427.40,2462.40
2024-07-17,2472.90,2473.10,2454.80,2454.80
2024-07-18,2466.00,2466.00,2451.80,2451.80
2024-07-19,2418.80,2419.20,2395.50,2395.50
2024-07-22,2402.10,2402.10,2392.00,2392.00
2024-07-23,2395.80,2404.60,2388.70,2404.60
